asin,product_title,brand,price,discount_percent,rating,review_count,category,product_link,search_term
B0FKBJ3GJM,"boAt Stone 108, 3W Signature Sound, 12H Battery, TWS Feature, IPX4, Bluetooth Speaker, Wireless Speaker, Portable Speaker(Tropical Blue)",boAt,849,(72% off),3.4,60,Audio,https://www.amazon.in/dp/B0FKBJ3GJM,bluetooth speakers
B0GMD8G6HY,"HAMMER Drop X1 5W Bluetooth Speaker with Twin Pairing, Bluetooth v6.0, 32 Hours Playtime, 52mm Drivers (Beige)",HAMMER,499,(86% off),4.8,20,Audio,https://www.amazon.in/dp/B0GMD8G6HY,bluetooth speakers
B09JVCT78G,"JBL Partybox 110, Wireless Bluetooth Party Speaker, 160W Monstrous Pro Sound, Dynamic Light Show, Upto 12Hrs Playtime, Built-in Powerbank, Guitar & Mic Input, PartyBox App, Splashproof (Black)",JBL,21499,(40% off),4.5,1.9K,Audio,https://www.amazon.in/dp/B09JVCT78G,bluetooth speakers
B08VDNCZT9,"JBL Charge 5, Wireless Portable Bluetooth Speaker Pro Sound, 20 Hrs Playtime, Powerful Bass Radiators, Built-in 7500mAh Powerbank, PartyBoost, IP67 Water & Dustproof (Without Mic, Black)",JBL,11999,(37% off),4.4,31.3K,Audio,https://www.amazon.in/dp/B08VDNCZT9,bluetooth speakers
B094RCC4L1,"Mivi Play Bluetooth Speaker with 12 Hours Playtime. Wireless Speaker Made in India with Exceptional Sound Quality, Portable and Built in Mic-Black",Mivi,839,(58% off),4.1,24.8K,Audio,https://www.amazon.in/dp/B094RCC4L1,bluetooth speakers
B0CLJ7V2JT,"Ambrane 5W Wireless Bluetooth Mini Speaker with 44Hrs Playtime, Immersive Sound, 52mm Driver, Twin Pairing, Integrated Music & Call Control, Built in Mic, IPX4 Water Resistance (Minipod, Green)",Ambrane,649,(64% off),4.3,47,Audio,https://www.amazon.in/dp/B0CLJ7V2JT,bluetooth speakers
B0DSSX42WX,"ZEBRONICS VITA BAR 201, Wireless Bluetooth Soundbar, 30 Watts, Upto 8 Hours Playback, Powerful Dual Drivers, Dual Passive Radiators, LED Indicator, BTv5.3 | USB | AUX",ZEBRONICS,1699,(39% off),3.6,108,Audio,https://www.amazon.in/dp/B0DSSX42WX,bluetooth speakers
B08YQV138W,"Bang & Olufsen Beosound Explore - Wireless Outdoor Bluetooth Speaker, IP 67 Dustproof and Waterproof, Grey Mist",Bang,18000,(10% off),4.3,3.1K,Audio,https://www.amazon.in/dp/B08YQV138W,bluetooth speakers
B0CT5F1SW4,"Tribit XSound Plus 2 30W 5.3 Bluetooth Wireless Speakers,Powerful Louder Stereo Sound with Bass-Enhanced XBass Function,24H Playtime,IPX7 Waterproof,Built in Mic,150ft BT Range for Home/Outdoor,Black",Tribit,5399,(46% off),4.4,2.7K,Audio,https://www.amazon.in/dp/B0CT5F1SW4,bluetooth speakers
B0G2MKMPVZ,"Zebronics 10W Portable Bluetooth v6.0 Speaker, Dual 5.2cm Drivers, 9hr Backup, Retro CD Design, 6 Ambient Sound Effects, TWS Support, Passive Radiator, Built-in Clock, Alarm & Call Function (Echospin)",Zebronics,1999,(58% off),4.2,29,Audio,https://www.amazon.in/dp/B0G2MKMPVZ,bluetooth speakers
B0D7Q6QMJR,"Portronics Harmony Mini 25W HD Premium Portable Bluetooth Speaker with Subwoofer, EQ Adjustment, 6 Hours Playtime, in-Built Mic,TWS Mode,RGB Lights, Bluetooth V5.3, Type C Fast Charging(Black)",Portronics,2799,(44% off),4.3,535,Audio,https://www.amazon.in/dp/B0D7Q6QMJR,bluetooth speakers
B07YNVQJZY,"Zebronics County 3W Wireless Bluetooth Portable Speaker with Supporting Carry Handle, USB, SD Card, FM & Call Function (Blue)",Zebronics,549,(45% off),3.9,10.6K,Audio,https://www.amazon.in/dp/B07YNVQJZY,bluetooth speakers
B0DQQ2VX26,"Boat Stone Ignite w/ 90 W RMS Sound, RGB LEDs, EQ Modes, IPX6,BT v5.3,Multi- Compatibility– Aux&USB, Playback time Up to 5 Hours & Type C Charging (Jade Black)",Boat,7017,(68% off),4.3,214,Audio,https://www.amazon.in/dp/B0DQQ2VX26,bluetooth speakers
B07TBFY4VF,"Portronics 5W Pico Mini HD Sound Portable Bluetooth Speaker with in-Built Mic, Strong Lanyard, Upto 4 Hours Playtime, Bluetooth 5.3V, Type C Fast Charging, Light Weight (Black)",Portronics,699,(30% off),4.2,792,Audio,https://www.amazon.in/dp/B07TBFY4VF,bluetooth speakers
B0FMNPVZVJ,"Zebronics Portable Bluetooth Speaker, 60W, Upto 7 Hours Playback, Dual 16.51cm Drivers, Karaoke, TWS, BT v5.4, USB, mSD, AUX, RGB, Wireless Mic with Display, Mobile Holder (Party Fyre 90)",Zebronics,5999,(54% off),4.0,479,Audio,https://www.amazon.in/dp/B0FMNPVZVJ,bluetooth speakers
B0GL7QWQF1,"Zebronics 50W Bluetooth Speaker, Dual 5.7cm Drivers, 8.9cm Subwoofer, Upto 5Hrs Playback, Dual Passive Radiators, RGB Modes, 6.3mm Mic Input, TWS, BT v5.3, USB, AUX, Type-C (Sound Feast 450)",Zebronics,3499,(50% off),5.0,3,Audio,https://www.amazon.in/dp/B0GL7QWQF1,bluetooth speakers
B01N4V4X5M,Anker Soundcore (Speaker),Anker,,,4.6,33.7K,Audio,https://www.amazon.in/dp/B01N4V4X5M,bluetooth speakers
B0GL3JFDMS,"JBL Compatible Ultra Mini Wireless Bluetooth Speaker with Heavy Metal Electroplated Round Speaker | Wireless Power Button Controlled, Long Battery Backup & Fast Quick Charge (Pack of 1, Multicolor)",JBL,288,(71% off),2.5,2,Audio,https://www.amazon.in/dp/B0GL3JFDMS,bluetooth speakers
B0BSLLKJ78,"Zebronics DC Black ADAM Edition Rocket 500 Bluetooth 5.0 Portable Speaker 20W RMS, TWS, 10 Hour Backup, Built-in Rechargeable Battery, RGB Lights, Detachable Handle, Wired mic Port & Type C",Zebronics,3299,(59% off),3.6,527,Audio,https://www.amazon.in/dp/B0BSLLKJ78,bluetooth speakers
B013T21X42,"Portronics Soundpot 20W Wireless Bluetooth Portable Speaker with 360° immersive Sound, Upto 6 Hours Playtime, in Built Mic, TWS Mode, Easy Control, Strong Lanyard, Type C Fast Charging(Black)",Portronics,1499,(50% off),4.2,6.2K,Audio,https://www.amazon.in/dp/B013T21X42,bluetooth speakers
